Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
2040	-429.401	-418.519	-10.882	19989.4	11.87713	0.991024	0.997689	1.00228	1.009	3.231601
2050	-429.592	-417.499	-12.093	35074.43	9.810733	0.993221	0.998258	1.00173	1.0068	3.434905
2060	-425.786	-413.603	-12.1827	656902.7	8.80641	0.998432	0.999599	1.0004	1.00157	3.454929
2070	-429.982	-419.467	-10.515	783517.1	14.11785	0.998564	0.999633	1.00037	1.00144	3.06493
2080	-431.968	-414.954	-17.014	770431.8	8.924774	0.998552	0.99963	1.00037	1.00145	3.997161
2090	-431.451	-419.753	-11.6981	132517.1	7.605776	0.99651	0.999106	1.00089	1.00349	3.332237
2100	-435.972	-423.942	-12.0302	762882.7	9.660345	0.998545	0.999628	1.00037	1.00146	3.432213
2110	-435.95	-423.187	-12.7629	285569.4	12.87748	0.997622	0.999391	1.00061	1.00238	3.318319
2120	-430.265	-423.555	-6.70967	952301.9	9.227938	0.998698	0.999667	1.00033	1.0013	2.862085
2130	-431.176	-417.519	-13.6562	937616.1	7.552864	0.998688	0.999664	1.00033	1.00131	3.585733
2140	-447.078	-426.459	-20.6194	490052.9	5.371064	0.998185	0.999536	1.00046	1.00182	4.325455
2150	-429.004	-415.646	-13.3578	30460.78	9.615021	0.992726	0.99813	1.00185	1.00729	3.571274
2160	-432.169	-419.811	-12.3577	276159.3	9.362814	0.997582	0.999381	1.00062	1.00242	3.472354
2170	-435.18	-418.844	-16.3358	249041.6	7.550386	0.997454	0.999348	1.00065	1.00255	3.940431
2180	-432.056	-418.755	-13.3002	247625.6	9.359476	0.997447	0.999346	1.00065	1.00256	3.573114
2190	-433.383	-417.792	-15.5911	527265	10.41086	0.99825	0.999552	1.00045	1.00175	3.749571
2200	-431.348	-422.006	-9.34147	352413.6	10.81703	0.99786	0.999452	1.00055	1.00214	3.140268
2210	-428.533	-416.531	-12.0017	312482.1	6.844348	0.997727	0.999418	1.00058	1.00227	3.260948
2220	-426.179	-410.015	-16.1635	746075.9	7.549846	0.998529	0.999624	1.00038	1.00147	3.917596
2230	-426.476	-413.756	-12.7204	170797.9	10.07954	0.996926	0.999213	1.00078	1.00308	3.488705
